timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
07/09/2023 14:51:31,23,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,108,620,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,68,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,660,508,10,10,68,1,0,jmeter-injector-07,0,43
07/09/2023 14:51:31,31,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,108,704,10,10,31,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:31,437,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,5029,781,10,10,437,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,421,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,77697,669,10,10,407,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,27,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,660,478,10,10,27,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,396,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,80320,669,10,10,382,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,34,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,242,765,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,23,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,660,478,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,21,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,108,620,10,10,21,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,25,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,660,478,10,10,25,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,164,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,69225,669,10,10,152,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,25,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,660,478,10,10,25,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:32,66,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,660,478,10,10,66,1,0,jmeter-injector-07,0,41
07/09/2023 14:51:33,75,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,108,704,10,10,75,1,0,jmeter-injector-07,0,43
07/09/2023 14:51:32,390,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,76526,669,10,10,377,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,29,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,108,704,10,10,29,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,36,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,242,765,10,10,36,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,23,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,108,704,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,1320,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,30,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,108,704,10,10,30,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:33,80,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,108,704,10,10,80,1,0,jmeter-injector-07,0,44
07/09/2023 14:51:34,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,1493,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:34,38,AddItemToBasket,400,Bad Request,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,false,159,765,10,10,38,1,1,jmeter-injector-07,0,0
07/09/2023 14:51:33,377,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,4413,780,10,10,377,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:34,29,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,108,704,10,10,29,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:34,69,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,108,704,10,10,69,1,0,jmeter-injector-07,0,39
07/09/2023 14:51:34,410,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,2905,781,10,10,410,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:34,21,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,565,258,10,10,21,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:34,40,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,242,765,10,10,40,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,40,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,242,765,10,10,40,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,24,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,660,508,10,10,24,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,380,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,79564,669,10,10,365,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:35,24,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,660,478,10,10,24,1,0,jmeter-injector-07,0,0
